User_ID,Age,Days_Since_Signup,Sessions,Visits,Features_Used,Avg_Session_Minutes,Trial_Days_Used,Support_Interactions,Converted
U001,46,107,8,9,4,8.7,20,1,0
U002,32,137,10,13,4,14.2,26,3,1
U003,25,7,7,18,4,12.4,4,3,0
U004,38,11,15,9,2,13.5,0,1,0
U005,36,148,11,16,8,12.9,16,1,1
U006,40,109,8,21,7,9.6,18,2,1
U007,28,33,12,15,4,15.2,13,1,0
U008,28,143,9,15,3,7.6,11,2,0
U009,41,21,14,10,8,19.9,9,0,1
U010,53,96,6,17,6,17.7,19,1,1
U011,41,48,16,13,7,11.0,20,3,1
U012,20,130,13,20,7,11.3,17,4,1
U013,39,69,7,25,5,15.7,23,0,1
U014,19,102,13,26,4,9.2,26,1,1
U015,41,58,8,20,6,24.9,10,1,0
U016,47,102,8,15,5,16.1,29,3,1
U017,55,138,13,17,6,16.4,1,3,0
U018,19,157,12,16,4,18.1,24,3,1
U019,38,149,10,21,9,10.5,17,1,1
U020,50,177,10,20,6,20.5,28,0,1
U021,29,35,12,16,3,14.7,24,2,1
U022,39,42,11,11,1,19.7,6,3,0
U023,42,19,11,13,6,12.8,30,4,1
U024,44,166,13,15,3,21.9,23,0,1
U025,45,77,10,19,6,16.4,14,2,0
U026,33,92,17,11,2,27.1,10,2,1
U027,32,34,15,18,3,11.8,17,2,1
U028,20,72,10,14,5,15.2,22,2,1
U029,54,176,9,20,3,7.8,11,0,0
U030,24,51,13,10,4,10.8,5,0,0
U031,38,68,6,14,5,17.7,19,2,0
U032,26,140,11,15,6,20.8,22,2,1
U033,35,34,13,12,3,31.8,29,3,1
U034,21,34,13,16,3,13.4,12,1,0
U035,42,114,9,12,4,8.4,19,5,1
U036,31,50,16,16,5,18.5,15,1,1
U037,26,90,11,17,4,7.2,17,1,1
U038,43,36,12,13,2,17.4,9,2,0
U039,19,81,9,17,6,11.0,27,1,1
U040,37,134,6,18,6,15.3,22,0,1
U041,45,98,11,20,8,20.5,7,1,1
U042,24,135,12,16,1,13.3,17,1,0
U043,25,127,10,14,6,19.6,20,0,1
U044,52,33,11,16,2,19.2,0,1,0
U045,31,127,8,11,5,2.8,22,2,0
U046,34,122,6,16,2,8.6,7,1,0
U047,53,9,11,14,6,4.6,28,2,0
U048,21,109,12,13,4,26.0,5,3,1
U049,19,161,9,18,3,13.4,4,2,1
U050,23,143,9,16,5,24.7,14,1,0
U051,21,68,5,23,6,4.2,21,3,0
U052,46,171,13,22,3,10.6,14,0,0
U053,35,57,7,12,4,18.8,1,1,0
U054,43,178,8,13,8,15.1,0,2,0
U055,51,158,13,12,4,17.2,22,1,1
U056,27,65,13,10,10,6.5,22,0,1
U057,53,124,12,10,4,22.3,25,1,1
U058,31,166,8,17,5,18.7,10,2,0
U059,48,102,14,13,10,16.4,9,1,1
U060,32,119,6,15,3,9.9,29,3,1
U061,25,68,13,11,4,15.9,17,1,1
U062,31,58,6,6,7,12.3,17,1,1
U063,40,18,11,12,5,4.1,16,2,0
U064,38,45,10,9,10,13.7,25,1,1
U065,33,136,12,14,4,13.1,7,1,1
U066,35,137,4,13,2,20.4,14,2,0
U067,41,119,12,17,3,2.0,7,1,0
U068,43,107,15,19,5,15.4,16,1,1
U069,42,119,7,9,8,7.1,11,3,0
U070,46,87,12,21,4,15.9,26,0,0
U071,32,119,12,12,3,16.2,7,0,0
U072,18,8,12,18,8,13.5,24,1,0
U073,42,136,16,11,6,18.8,13,1,1
U074,24,60,5,15,8,6.5,3,1,1
U075,26,93,13,13,3,20.6,0,2,0
U076,41,135,9,18,3,9.8,0,1,0
U077,18,153,9,12,5,4.7,18,3,0
U078,25,132,13,21,11,12.4,30,1,1
U079,41,136,15,15,7,2.0,15,3,0
U080,28,59,14,14,4,15.5,13,1,0
U081,34,178,10,12,3,12.4,20,0,1
U082,25,166,14,14,8,21.4,15,2,1
U083,52,166,10,13,8,17.9,4,0,1
U084,52,74,14,13,3,5.6,8,1,0
U085,50,129,16,20,3,9.0,25,3,1
U086,22,151,14,17,6,17.1,29,1,0
U087,45,44,16,15,2,19.1,27,0,0
U088,24,30,6,15,7,21.3,1,4,1
U089,26,75,12,18,5,21.3,17,1,1
U090,25,122,10,10,5,13.5,5,2,0
U091,29,104,9,13,6,16.2,30,0,1
U092,51,145,14,16,1,21.8,8,1,1
U093,50,150,11,12,10,12.2,0,3,0
U094,40,103,11,10,2,16.3,8,1,0
U095,41,130,16,11,5,12.0,24,0,1
U096,54,76,6,12,4,10.7,15,1,0
U097,52,99,14,21,5,14.3,12,1,1
U098,39,9,6,15,4,9.9,8,0,1
U099,44,154,13,12,5,13.2,20,0,0
U100,52,170,14,16,6,7.8,12,3,1
